Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Увидав будочника, она снова 	метнулась	 	в сени, но он схватил её	Максим Горький. Детство (1913-1914)	Максим Горький	1868	Детство	1913-1914	художественная	повесть		Горький М. Детство. В людях. Мои университеты. ― М.: Художественная литература, 1975	1975	книга	омонимия не снята	Увидав будочника, она снова метнулась в сени, но он схватил её за юбку и тоже испуганно заорал: 
И опять пугливый взор 	метнулся	 	на него и тихо прозвучал робкий	Ал. Алтаев (М. В. Ямщикова). Гроза на Москве (1914)	Ал. Алтаев (М. В. Ямщикова)	1872	Гроза на Москве	1914	художественная	повесть		Алтаев Ал. Гроза на Москве. Библиотека исторического романа	1993	книга	омонимия не снята	И опять пугливый взор метнулся на него и тихо прозвучал робкий голос: 
Громадная фигура Мстиславца 	метнулась	 	с диким звериным воем.	Ал. Алтаев (М. В. Ямщикова). Гроза на Москве (1914)	Ал. Алтаев (М. В. Ямщикова)	1872	Гроза на Москве	1914	художественная	повесть		Алтаев Ал. Гроза на Москве. Библиотека исторического романа	1993	книга	омонимия не снята	Громадная фигура Мстиславца метнулась с диким звериным воем.
Как скользкая ящерица, она 	метнулась	 	в избу, затворив тотчас же за	А. Н. Будищев. На страшной доске (1914)	А. Н. Будищев	1867	На страшной доске	1914	художественная	рассказ		Сборник рассказов «Хата с краю». 1914 г	1914	книга	омонимия не снята	Как скользкая ящерица, она метнулась в избу, затворив тотчас же за собою дверь.
Из-под печки вынырнула мышь, 	метнулась	 	было к столу и побежала в	И. А. Бунин. Святые (1914)	И. А. Бунин	1870	Святые	1914	художественная	рассказ				книга	омонимия не снята	Из-под печки вынырнула мышь, метнулась было к столу и побежала в темную комнату.
Он побледнел, 	метнулся	 	в сторону, как-то съежился и медленно	С. А. Гарин. Город (1914)	С. А. Гарин	1873	Город	1914	художественная	рассказ				электронный текст	омонимия не снята	Он побледнел, метнулся в сторону, как-то съежился и медленно, словно побитая собака, пошел к двери...
	Метнулась	 	широкая светлая тень по стене.	А. Н. Будищев. Анна Павловна // журнал «Пробуждение», 1915, No 19, 1915	А. Н. Будищев	1867	Анна Павловна	1915	художественная	рассказ		журнал «Пробуждение», 1915, No 19	1915	журнал	омонимия не снята	Метнулась широкая светлая тень по стене.
Пара чёрных куличков с плачем 	метнулась	 	из них в дождливое небо... а	И. А. Бунин. Грамматика любви (1915)	И. А. Бунин	1870	Грамматика любви	1915	художественная	рассказ		И. А. Бунин. Собрание сочинений в 6-ти т	1988	книга	омонимия снята	"Пара чёрных куличков с плачем метнулась из них в дождливое небо... а на плотине, среди крапивы, мелкими бледно-розовыми цветочками цвёл большой старый куст, то милое деревцо, которое зовут ""божьим деревом"", – и вдруг иВлев вспомнил места, вспомнил, что не раз ездил тут в молодости верхом..."
Страшное лицо помертвело; закрылись глаза, ослабев, 	метнулись	 	назад руки, и некто упал без	А. С. Грин. Ночью и днем // А. С. Грин. Собр. соч. в 6 т. Т. 4, 1915	А. С. Грин	1880	Ночью и днем	1915	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 4	1915	журнал	омонимия не снята	Страшное лицо помертвело; закрылись глаза, ослабев, метнулись назад руки, и некто упал без сознания.
Протодьякон, 	метнулся	 	к калитке, чтобы посмотреть, не на	С. И. Гусев-Оренбургский. Деревенский батюшка (1915) // «Пробуждение», №18, 1912	С. И. Гусев-Оренбургский	1867	Деревенский батюшка	1915	художественная	рассказ		«Пробуждение», №18	1912	журнал	омонимия не снята	Протодьякон, метнулся к калитке, чтобы посмотреть, не на дворе ли батюшка, а благочинный принялся стучать в дверь.
Тотчас благочинный с протодьяконом 	метнулись	 	поддержать его под руки.	С. И. Гусев-Оренбургский. Деревенский батюшка (1915) // «Пробуждение», №18, 1912	С. И. Гусев-Оренбургский	1867	Деревенский батюшка	1915	художественная	рассказ		«Пробуждение», №18	1912	журнал	омонимия не снята	Тотчас благочинный с протодьяконом метнулись поддержать его под руки.
сосед – и очухаться Пётра не успел – 	метнулся	, 	нырнул мимо ног – и поминай, как	Е. И. Замятин. Чрево (1915)	Е. И. Замятин	1884	Чрево	1915	художественная	рассказ		Е. И. Замятин. Собрание сочинений: В 5 томах. Том 1. Уездное. М.: Русская книга, 2003	2003	книга	омонимия не снята	А сосед – и очухаться Пётра не успел – метнулся, нырнул мимо ног – и поминай, как звали.
	Метнулась	 	с испуга в сторону лошадь, кувырком	С. С. Кондурушкин. Вслед за войной (1915)	С. С. Кондурушкин	1874	Вслед за войной	1915	публицистика	очерк | цикл	армия и вооруженные конфликты	Кондурушкин С. С. Вслед за войной.	1915	книга	омонимия не снята	Метнулась с испуга в сторону лошадь, кувырком катится телега, а между лошадью и телегой тёмным комочком мелькает мужик.
Пробежала человеческая фигура, точно тень 	метнулась	, 	скрылась за камнем.	С. С. Кондурушкин. Вслед за войной (1915)	С. С. Кондурушкин	1874	Вслед за войной	1915	публицистика	очерк | цикл	армия и вооруженные конфликты	Кондурушкин С. С. Вслед за войной.	1915	книга	омонимия не снята	Пробежала человеческая фигура, точно тень метнулась, скрылась за камнем.
В сенях кошка фыркнула, 	метнулась	 	на стену, села под крышей и	С. С. Кондурушкин. Вслед за войной (1915)	С. С. Кондурушкин	1874	Вслед за войной	1915	публицистика	очерк | цикл	армия и вооруженные конфликты	Кондурушкин С. С. Вслед за войной.	1915	книга	омонимия не снята	В сенях кошка фыркнула, метнулась на стену, села под крышей и уставила на меня из темноты два зеленоватых фонаря.
сына – будет работать товар на войска, – 	метнулся	 	по начальству, не окажется ли какой	Ф. Д. Крюков. Ратник // «Русские записки», 1915	Ф. Д. Крюков	1870	Ратник	1915	художественная	рассказ		«Русские записки»	1915	журнал	омонимия не снята	Прослыхал, что в Михайловке оставили Кожевникова сына – будет работать товар на войска, – метнулся по начальству, не окажется ли какой работы по столярной части: был он неплохим столяром, и Костик тоже держал в руках пилу и рубанок, – по торговой части пошел лишь недавно, – могли бы орудовать не хуже других.
Иоле вздрогнул всем телом и 	метнулся	, 	было, вперед: 	Л. А. Чарская. Игорь и Милица (Соколята) (1915)	Л. А. Чарская	1875	Игорь и Милица (Соколята)	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 37	2007	книга	омонимия не снята	Иоле вздрогнул всем телом и метнулся, было, вперед: 
от него и обессиленный юноша быстро 	метнулся	 	под его прикрытие…	Л. А. Чарская. Игорь и Милица (Соколята) (1915)	Л. А. Чарская	1875	Игорь и Милица (Соколята)	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 37	2007	книга	омонимия не снята	Несколько пуль упало в воду y самого лица Иоле… К счастью, затонувшее судно было теперь лишь в двух саженях от него и обессиленный юноша быстро метнулся под его прикрытие…
повалились еще двое… Трое других караульных 	метнулись	, 	было, к юноше, сабля одного из	Л. А. Чарская. Игорь и Милица (Соколята) (1915)	Л. А. Чарская	1875	Игорь и Милица (Соколята)	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 37	2007	книга	омонимия не снята	За ним повалились еще двое… Трое других караульных метнулись, было, к юноше, сабля одного из них повисла уже над его головой, но в тот же миг выскочившие из-за ближайшей избы несколько русских стрелков, словно выросших из-под земли, ударили на венгерцев, и те, побросав оружие, кинулись врассыпную… 
боязнь заразиться и заразить сынишку, я 	метнулась	 	вперед.	Л. А. Чарская. Мой принц (1915)	Л. А. Чарская	1875	Мой принц	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 24	2007	книга	омонимия не снята	И с этим криком, забыв боязнь заразиться и заразить сынишку, я метнулась вперед.
И задыхающийся, багрово-красный, он 	метнулся	 	стрелою мимо нас и выскочил на	Л. А. Чарская. Мой принц (1915)	Л. А. Чарская	1875	Мой принц	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 24	2007	книга	омонимия не снята	И задыхающийся, багрово-красный, он метнулся стрелою мимо нас и выскочил на лестницу.
на ходу выпрыгнула из таратайки и 	метнулась	 	в толпу.	Л. А. Чарская. Мой принц (1915)	Л. А. Чарская	1875	Мой принц	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 24	2007	книга	омонимия не снята	Позднее, вечером, Чахов уверял меня, что он испугался за мой рассудок, когда я на ходу выпрыгнула из таратайки и метнулась в толпу.
Я 	метнулся	 	к матери, уткнулся лицом в кружева	В. В. Брусянин. Дом на костях (1916)	В. В. Брусянин	1867	Дом на костях	1916	художественная	рассказ		В. В. Брусянин. Дом на костях	1916	книга	омонимия не снята	Я метнулся к матери, уткнулся лицом в кружева её платья и этим как бы хотел показать, что я её сын, её.
Счастливый отец быстро 	метнулся	 	в соседнюю комнату и через минуту	В. В. Брусянин. Уличный папа (1916)	В. В. Брусянин	1867	Уличный папа	1916	художественная	рассказ		В. В. Брусянин. Дом на костях	1916	книга	омонимия не снята	Счастливый отец быстро метнулся в соседнюю комнату и через минуту принёс девочку в конвертике с оборочками и кружевами.
