Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Захваченные врасплох духи запустения 	метнулись	 	по углам, и что-то тоскливо стеснило	Владимир Дудинцев. Белые одежды / Вторая часть (1987)	Владимир Дудинцев	1918	Белые одежды / Вторая часть	1987	художественная	роман		Дудинцев В. Белые одежды	1988	книга	омонимия не снята	Захваченные врасплох духи запустения метнулись по углам, и что-то тоскливо стеснило грудь.
Рука следователя автоматически 	метнулась	 	расправить свернутую на груди сизую трубку.	Владимир Дудинцев. Белые одежды / Третья часть (1987)	Владимир Дудинцев	1918	Белые одежды / Третья часть	1987	художественная	роман		Дудинцев В. Белые одежды	1988	книга	омонимия не снята	Рука следователя автоматически метнулась расправить свернутую на груди сизую трубку.
Липа 	метнулась	 	к телефону за профессором, но Глаша	С. Е. Каледин. Коридор (1987)	С. Е. Каледин	1949	Коридор	1987	художественная	повесть		Сергей Каледин. Стройбат. Повести и рассказы	1991	книга	омонимия не снята	Липа метнулась к телефону за профессором, но Глаша, воспользовавшись тем, что у профессора долго было занято, прикрыла дверь в комнату – телефон висел в передней, – взяла девочку за ноги и потрясла вниз головой.
Липа 	метнулась	 	в маленькую комнату.	С. Е. Каледин. Коридор (1987)	С. Е. Каледин	1949	Коридор	1987	художественная	повесть		Сергей Каледин. Стройбат. Повести и рассказы	1991	книга	омонимия не снята	Липа метнулась в маленькую комнату.
Липа 	метнулась	 	к двери, загородила ее собой.	С. Е. Каледин. Коридор (1987)	С. Е. Каледин	1949	Коридор	1987	художественная	повесть		Сергей Каледин. Стройбат. Повести и рассказы	1991	книга	омонимия не снята	Липа метнулась к двери, загородила ее собой.
бутылку о бутылку, пробка у косо 	метнулась	 	в сторону.	С. Е. Каледин. Ку-ку (1987)	С. Е. Каледин	1949	Ку-ку	1987	художественная	повесть		Сергей Каледин. Стройбат. Повести и рассказы	1994	книга	омонимия не снята	Юрка открыл бутылку о бутылку, пробка у косо метнулась в сторону.
Глеб 	метнулся	 	подхватить их, но очки не разбились	С. Е. Каледин. Шабашка Глеба Богдышева (1987)	С. Е. Каледин	1949	Шабашка Глеба Богдышева	1987	художественная	повесть		Сергей Каледин. Шабашка Глеба Богдышева	1991	книга	омонимия не снята	Глеб метнулся подхватить их, но очки не разбились, а повисли на шнурке.
спинку кровати, с усилием встал, слабо 	метнулся	 	сперва к окну, потом туда, где	В. Ф. Кормер. Наследство (1987)	В. Ф. Кормер	1939	Наследство	1987	художественная	роман		Кормер В. Ф. Наследство. М.: Время, 2009	2009	книга	омонимия не снята	Мелик, схватившись за спинку кровати, с усилием встал, слабо метнулся сперва к окну, потом туда, где было темнее, к двери, чтобы нежданный гость не смог заметить его дрожи.
лестницы, ведшей в подвал, к нему 	метнулась	 	темная фигура.	В. Ф. Кормер. Наследство (1987)	В. Ф. Кормер	1939	Наследство	1987	художественная	роман		Кормер В. Ф. Наследство. М.: Время, 2009	2009	книга	омонимия не снята	Он вошел в свой подъезд и уже открывал дверцу лифта, когда сбоку, с лестницы, ведшей в подвал, к нему метнулась темная фигура.
Лизина тень выросла, 	метнулась	 	в потолок.	Владимир Личутин. Любостай (1987)	Владимир Личутин	1940	Любостай	1987	художественная	роман		Личутин В. В. Любостай	1990	книга	омонимия не снята	Лизина тень выросла, метнулась в потолок.
Животинка вскричала, 	метнулась	 	в мрак.	Владимир Личутин. Любостай (1987)	Владимир Личутин	1940	Любостай	1987	художественная	роман		Личутин В. В. Любостай	1990	книга	омонимия не снята	Животинка вскричала, метнулась в мрак.
Глаза жены растерянно 	метнулись	, 	в них была затравленность загнанного зверя.	Владимир Личутин. Любостай (1987)	Владимир Личутин	1940	Любостай	1987	художественная	роман		Личутин В. В. Любостай	1990	книга	омонимия не снята	Глаза жены растерянно метнулись, в них была затравленность загнанного зверя.
Внутрь 	метнулся	 	клуб морозного пара.	Виктор Астафьев. Веселый солдат (1987-1997) // «Новый Мир», 1998	Виктор Астафьев	1924	Веселый солдат	1987-1997	художественная	рассказ		«Новый Мир»	1998	журнал	омонимия не снята	Внутрь метнулся клуб морозного пара.
Один 	метнулся	 	ко мне: «Щей пит!» 	А. И. Шарыпов. Солярис-3 (1987-1997) // «Волга», 2010	А. И. Шарыпов	1959	Солярис-3	1987-1997	художественная	повесть		«Волга»	2010	журнал	омонимия не снята	Один метнулся ко мне: «Щей пит!» 
Пришибленный, он 	метнулся	 	в ноги дымом, как виноватая собака.	А. И. Шарыпов. Солярис-3 (1987-1997) // «Волга», 2010	А. И. Шарыпов	1959	Солярис-3	1987-1997	художественная	повесть		«Волга»	2010	журнал	омонимия не снята	Пришибленный, он метнулся в ноги дымом, как виноватая собака.
ребром другой ударил по плевку – слюна 	метнулась	 	вправо.	Сергей Каледин. Записки гробокопателя (1987-1999)	Сергей Каледин	1949	Записки гробокопателя	1987-1999	художественная	повесть | цикл		Сергей Каледин. Записки гробокопателя	2001	книга	омонимия не снята	Присел на корточки спиной к туристам, плюнул на ладонь, ребром другой ударил по плевку – слюна метнулась вправо.
открыл бутылку о бутылку, пробка косо 	метнулась	 	в сторону.	Сергей Каледин. Записки гробокопателя (1987-1999)	Сергей Каледин	1949	Записки гробокопателя	1987-1999	художественная	повесть | цикл		Сергей Каледин. Записки гробокопателя	2001	книга	омонимия не снята	Юрка открыл бутылку о бутылку, пробка косо метнулась в сторону.
Он 	метнулся	 	назад, в квартиру.	Сергей Каледин. Записки гробокопателя (1987-1999)	Сергей Каледин	1949	Записки гробокопателя	1987-1999	художественная	повесть | цикл		Сергей Каледин. Записки гробокопателя	2001	книга	омонимия не снята	Он метнулся назад, в квартиру.
что пламя в лампе желтым языком 	метнулось	 	вверх, – но здесь его нету.	Александр Чудаков. Ложится мгла на старые ступени (1987-2000) // «Знамя», 2000	Александр Чудаков	1938	Ложится мгла на старые ступени	1987-2000	художественная	роман		«Знамя»	2000	журнал	омонимия не снята	Я положил его тут, – он ударил ладонью по столу, так что пламя в лампе желтым языком метнулось вверх, – но здесь его нету.
Федор 	метнулся	 	к дому, но остановился.	Борис Васильев. Были и небыли. Книга 1 (1988)	Борис Васильев	1924	Были и небыли. Книга 1	1988	художественная	роман		Васильев Б. Были и небыли	1999	книга	омонимия не снята	Федор метнулся к дому, но остановился.
Заметив это, Скобелев 	метнулся	 	туда, перескакивая через ползущих вверх, к	Борис Васильев. Были и небыли. Книга 2 (1988)	Борис Васильев	1924	Были и небыли. Книга 2	1988	художественная	роман		Васильев Б. Были и небыли	1999	книга	омонимия не снята	Заметив это, Скобелев метнулся туда, перескакивая через ползущих вверх, к хребту, раненых.
Вскочив поскобелевски легко, 	метнулся	 	к дверям, развернулся на каблуках и	Борис Васильев. Были и небыли. Книга 2 (1988)	Борис Васильев	1924	Были и небыли. Книга 2	1988	художественная	роман		Васильев Б. Были и небыли	1999	книга	омонимия не снята	Вскочив поскобелевски легко, метнулся к дверям, развернулся на каблуках и оказался перед капитаном, уперев в бока могучие кулачищи.
Офицер дернулся, рука его 	метнулась	 	к кобуре; возможно, он бы и	Борис Васильев. Были и небыли. Книга 2 (1988)	Борис Васильев	1924	Были и небыли. Книга 2	1988	художественная	роман		Васильев Б. Были и небыли	1999	книга	омонимия не снята	Офицер дернулся, рука его метнулась к кобуре; возможно, он бы и пустил в ход оружие, но неподалеку показалась группа солдат, которую вел унтер на окопное дежурство.
обращаются кверху, чтобы тут же, ослепленными, 	метнуться	 	по углам.	О. В. Волков. Из воспоминаний старого тенишевца (1988)	О. В. Волков	1900	Из воспоминаний старого тенишевца	1988	публицистика	мемуары		Олег Волков. Погружение во тьму. М.: Вагриус, 2001	2001	книга	омонимия не снята	Ходишь ли маятником с поворотами через пять шагов или, закружившись, сядешь на табурет, – глаза, уставшие от знакомых потеков краски на параше, трещинок штукатурки, щелей между половицами, от пересчитанных сто раз головок болтов в двери, помимо воли обращаются кверху, чтобы тут же, ослепленными, метнуться по углам.
Иван Федорович снова 	метнулся	 	в Питер – со смутными планами о	О. В. Волков. Из воспоминаний старого тенишевца (1988)	О. В. Волков	1900	Из воспоминаний старого тенишевца	1988	публицистика	мемуары		Олег Волков. Погружение во тьму. М.: Вагриус, 2001	2001	книга	омонимия не снята	Иван Федорович снова метнулся в Питер – со смутными планами о чем-то договориться, что-то предпринять.
и засечешь пронзительный взгляд оттуда – и 	метнутся	 	прочь следящие за тобой глаза.	О. В. Волков. Из воспоминаний старого тенишевца (1988)	О. В. Волков	1900	Из воспоминаний старого тенишевца	1988	публицистика	мемуары		Олег Волков. Погружение во тьму. М.: Вагриус, 2001	2001	книга	омонимия не снята	Нет-нет и засечешь пронзительный взгляд оттуда – и метнутся прочь следящие за тобой глаза.
сдавила ей шею, и она, испугавшись, 	метнулась	 	прочь.	О. В. Волков. Из воспоминаний старого тенишевца (1988)	О. В. Волков	1900	Из воспоминаний старого тенишевца	1988	публицистика	мемуары		Олег Волков. Погружение во тьму. М.: Вагриус, 2001	2001	книга	омонимия не снята	Собака мотнула головой, норовя освободиться от ремня, уперлась четырьмя лапами: петля сдавила ей шею, и она, испугавшись, метнулась прочь.
протянул к нему руки – а мысль 	метнулась	 	сразу в двух направлениях: позвать отца	Андрей Лазарчук. Священный месяц Ринь (1988)	Андрей Лазарчук	1958	Священный месяц Ринь	1988	художественная	рассказ		А. Лазарчук. Сентиментальное путешествие на двухместной машине времени	2003	книга	омонимия не снята	В последней надежде прорваться к нему Юл протянул к нему руки – а мысль метнулась сразу в двух направлениях: позвать отца Никодима и объяснить ему все – и обратиться к иерархам и попытаться растолковать, как бы трудно ни было, что такое запах, гормоны и все остальное...
Взлетела – и снова 	метнулась	 	вниз, проклюнула зеленый.	Леонид Сапожников. Митя Метелкин в Стране Синих роз (1988)	Леонид Сапожников	1945-1955	Митя Метелкин в Стране Синих роз	1988	художественная	повесть				книга	омонимия не снята	Взлетела – и снова метнулась вниз, проклюнула зеленый.
Справа, из подворотни, от бывшей библиотеки 	метнулись	 	тени – и через секунду все было	Александр Кабаков. Путешествие экстраполятора (1988-1999)	Александр Кабаков	1943	Путешествие экстраполятора	1988-1999	художественная	повесть		Александр Кабаков. Путешествие экстраполятора и другие сказки	2000	книга	омонимия не снята	Справа, из подворотни, от бывшей библиотеки метнулись тени – и через секунду все было кончено.
Точно зная, что вот-вот толпа 	метнется	, 	загремят очереди, взовьется визг: «Регионалы! 	Александр Кабаков. Путешествие экстраполятора (1988-1999)	Александр Кабаков	1943	Путешествие экстраполятора	1988-1999	художественная	повесть		Александр Кабаков. Путешествие экстраполятора и другие сказки	2000	книга	омонимия не снята	Точно зная, что вот-вот толпа метнется, загремят очереди, взовьется визг: «Регионалы! 
Но неожиданно он с явной угрозой 	метнулся	 	к Дениве – та едва успела отпрянуть	Е. А. Грушко. Золотая рыбка (1989)	Е. А. Грушко	1952	Золотая рыбка	1989	художественная	повесть		«Ветка кедра», М.: «Молодая гвардия», 1989.	1989	книга	омонимия не снята	Но неожиданно он с явной угрозой метнулся к Дениве – та едва успела отпрянуть, слегка колыхнув какое-то растение, в котором, как она мимоходом отметила, вообще было не уловить следов разума – только невнятные ощущения.
Рыжая кошка 	метнулась	 	у них из-под ног и нырнула	Евгений Кен. Трубус // «Техника - молодежи», 1989	Евгений Кен		Трубус	1989	художественная	рассказ		«Техника - молодежи»	1989	журнал	омонимия не снята	Рыжая кошка метнулась у них из-под ног и нырнула в Трубу.
я заметил, что какая-то темная тень 	метнулась	 	к кенгуру, который стоял возле дерева.	Н. Н. Непомнящий. Разгадка близка? (О неразгаданных тайнах криптозоологии) (1989)	Н. Н. Непомнящий	1955	Разгадка близка? (О неразгаданных тайнах криптозоологии)	1989	учебно-научная	монография	естественные науки	Н. Н. Непомнящий. Разгадка близка? М.: Знание, 1989	1989	книга	омонимия не снята	Всмотревшись, я заметил, что какая-то темная тень метнулась к кенгуру, который стоял возле дерева.
Ира 	метнулась	 	к дверям, – удаляясь, проплясала перед англичанами	Вячеслав Рыбаков. Давние потери (1989)	Вячеслав Рыбаков	1954	Давние потери	1989	художественная	рассказ				книга	омонимия не снята	Ира метнулась к дверям, – удаляясь, проплясала перед англичанами фирменная нашлепка «Г.Геринг верке» на ее джинсах.
Он тут же 	метнулся	 	ко мне, вскрикнул и даже засмеялся	Нина Садур. Чудесные знаки спасенья (1989)	Нина Садур	1950	Чудесные знаки спасенья	1989	художественная	роман		Садур Н. Чудесные знаки	2000	книга	омонимия не снята	Он тут же метнулся ко мне, вскрикнул и даже засмеялся от радости! 
меня, вся рваная, а когда я 	метнулась	 	к ней, ахнув: «Побинтовать?!» 	Нина Садур. Чудесные знаки спасенья (1989)	Нина Садур	1950	Чудесные знаки спасенья	1989	художественная	роман		Садур Н. Чудесные знаки	2000	книга	омонимия не снята	Марья пронеслась мимо меня, вся рваная, а когда я метнулась к ней, ахнув: «Побинтовать?!» 
отломилась от ближайшей скалы, вздыбилась и 	метнулась	 	вверх.	В. А. Титов. Незваные гости (1989)	В. А. Титов	1934	Незваные гости	1989	художественная	рассказ		«Ветка кедра», М.: «Молодая гвардия», 1989.	1989	книга	омонимия не снята	Справа по борту раздался оглушительный треск: многотонная каменная плита отломилась от ближайшей скалы, вздыбилась и метнулась вверх.
Вездеход, лишенный защиты гравитатора, 	метнулся	 	вправо, врезался в скалу, потом дернулся	В. А. Титов. Незваные гости (1989)	В. А. Титов	1934	Незваные гости	1989	художественная	рассказ		«Ветка кедра», М.: «Молодая гвардия», 1989.	1989	книга	омонимия не снята	Вездеход, лишенный защиты гравитатора, метнулся вправо, врезался в скалу, потом дернулся вперед, подпрыгнул метра на два вверх и, с силой ударившись о каменную поверхность планеты, перевернулся…
Она 	метнулась	 	к Антиповой, доверчиво глядя ей в	Виктория Токарева. На черта нам чужие // «Огонек», 1989	Виктория Токарева	1937	На черта нам чужие	1989	художественная	рассказ		«Огонек»	1989	журнал	омонимия не снята	Она метнулась к Антиповой, доверчиво глядя ей в глаза, буквально перетекая в Антипову через зрачки.
обе створки и, как вспугнутый заяц, 	метнулся	 	в сторону перед самой огнедышащей мордой	Фазиль Искандер. Сандро из Чегема (Книга 1) (1989)	Фазиль Искандер	1929	Сандро из Чегема (Книга 1)	1989	художественная	роман		Ф. А. Искандер. «Сандро из Чегема». Кн. 1	1989	книга	омонимия не снята	И когда звук этот подошел к самым дверям, где все еще стоял персидский коммерсант, тот вдруг лягающим движением ноги распахнул обе створки и, как вспугнутый заяц, метнулся в сторону перед самой огнедышащей мордой коня.
сразу же туда, где они посыпались, 	метнулись	 	куры.	Фазиль Искандер. Сандро из Чегема (Книга 2) (1989)	Фазиль Искандер	1929	Сандро из Чегема (Книга 2)	1989	художественная	роман		Ф. А. Искандер. «Сандро из Чегема». Кн. 2	1989	книга	омонимия не снята	Нуца плеснула в сторону зерна из тазика, и сразу же туда, где они посыпались, метнулись куры.
Парень 	метнулся	 	к седлу, но не успела его	Фазиль Искандер. Сандро из Чегема (Книга 2) (1989)	Фазиль Искандер	1929	Сандро из Чегема (Книга 2)	1989	художественная	роман		Ф. А. Искандер. «Сандро из Чегема». Кн. 2	1989	книга	омонимия не снята	Парень метнулся к седлу, но не успела его нога перемахнуть через него, как лошадь мгновенно дала свечу, отшвырнула объездчика и, со свечи повернувшись на задних ногах, бросилась на него, оскалив желтозубую пасть.
Второй 	метнулся	 	в ночь.	Фазиль Искандер. Сандро из Чегема (Книга 3) (1989)	Фазиль Искандер	1929	Сандро из Чегема (Книга 3)	1989	художественная	роман		Ф. А. Искандер. «Сандро из Чегема». Кн. 3	1989	книга	омонимия не снята	Второй метнулся в ночь.
Я 	метнулся	 	навстречу, на всякий случай.	Семен Лунгин. Виденное наяву (1989-1996)	Семен Лунгин	1920	Виденное наяву	1989-1996	публицистика	мемуары		С. Лунгин. Виденное наяву	2000	книга	омонимия не снята	Я метнулся навстречу, на всякий случай.
этот момент огромная белая рука снова 	метнулась	 	по небу и сгребла Шестипалого.	Виктор Пелевин. Затворник и шестипалый (1990)	Виктор Пелевин	1962	Затворник и шестипалый	1990	художественная	повесть		Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 2	2001	книга	омонимия не снята	Но в этот момент огромная белая рука снова метнулась по небу и сгребла Шестипалого.
с протяжным оглушительным шипением коричневою молнией 	метнулась	 	в дверь мимо остолбеневшего с трубкой	Вячеслав Рыбаков. Сказка об убежище (1990)	Вячеслав Рыбаков	1958	Сказка об убежище	1990	художественная	рассказ				книга	омонимия не снята	Змея скрутилась в спираль и с протяжным оглушительным шипением коричневою молнией метнулась в дверь мимо остолбеневшего с трубкой в руках Жермена.
Чудовищная рука 	метнулась	 	к Навку и сбила с ног.	Алексей Иванов. Корабли и Галактика (1990-1991)	Алексей Иванов	1969	Корабли и Галактика	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Чудовищная рука метнулась к Навку и сбила с ног.
И тотчас Сатар 	метнулся	 	в погоню.	Алексей Иванов. Корабли и Галактика (1990-1991)	Алексей Иванов	1969	Корабли и Галактика	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	И тотчас Сатар метнулся в погоню.
Башка Зорга с хрустом 	метнулась	 	вперед.	Алексей Иванов. Корабли и Галактика (1990-1991)	Алексей Иванов	1969	Корабли и Галактика	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Башка Зорга с хрустом метнулась вперед.
Жемчужное свечение 	метнулось	 	по диким камням.	Алексей Иванов. Корабли и Галактика (1990-1991)	Алексей Иванов	1969	Корабли и Галактика	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Жемчужное свечение метнулось по диким камням.
Андраковский 	метнулся	 	вслед, но внезапно какая-то сила развернула	Алексей Иванов. Охота на «Большую Медведицу» (1990-1991)	Алексей Иванов	1969	Охота на «Большую Медведицу»	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Андраковский метнулся вслед, но внезапно какая-то сила развернула его и отбросила к молчаливо стоящей Милоре.
Катарсис зарычал и 	метнулся	 	за какое-то укрытие, выставив бластер.	Алексей Иванов. Охота на «Большую Медведицу» (1990-1991)	Алексей Иванов	1969	Охота на «Большую Медведицу»	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Катарсис зарычал и метнулся за какое-то укрытие, выставив бластер.
Даниил 	метнулся	 	к двери и стал колотить в	Алексей Иванов. Охота на «Большую Медведицу» (1990-1991)	Алексей Иванов	1969	Охота на «Большую Медведицу»	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Даниил метнулся к двери и стал колотить в нее кулаками.
Он 	метнулся	 	к Бомбару и вцепился в его	Алексей Иванов. Охота на «Большую Медведицу» (1990-1991)	Алексей Иванов	1969	Охота на «Большую Медведицу»	1990-1991	художественная	повесть		А. В. Иванов. Земля ― Сортировочная (сборник)	2006	книга	омонимия не снята	Он метнулся к Бомбару и вцепился в его ремень.
Тогда она 	метнулась	 	в ванную, принесла в ковшике водицы	Петр Алешковский. Жизнеописание Хорька (1990-1993)	Петр Алешковский	1957	Жизнеописание Хорька	1990-1993	художественная	повесть		Алешковский П. Седьмой чемоданчик	1999	книга	омонимия не снята	Тогда она метнулась в ванную, принесла в ковшике водицы, облила своего драгоценного, и тот слегка зашевелился, еще в обмороке, помямкал только губами, но глаз не открыл.
он переступил порог, как из-за прилавка 	метнулась	 	к нему Раиска, словно заранее ждала: 	Петр Алешковский. Жизнеописание Хорька (1990-1993)	Петр Алешковский	1957	Жизнеописание Хорька	1990-1993	художественная	повесть		Алешковский П. Седьмой чемоданчик	1999	книга	омонимия не снята	Едва он переступил порог, как из-за прилавка метнулась к нему Раиска, словно заранее ждала: 
Мама заплакала, 	метнулась	 	к печке – разогревать чайник.	Павел Сиркес. Труба исхода (1990-1999)	Павел Сиркес	1932	Труба исхода	1990-1999	публицистика	мемуары				электронный текст	омонимия не снята	Мама заплакала, метнулась к печке – разогревать чайник.
Андрей участливо выслушал мой невеселый рассказ, 	метнулся	 	к батарее телефонов на крыле стола	Павел Сиркес. Труба исхода (1990-1999)	Павел Сиркес	1932	Труба исхода	1990-1999	публицистика	мемуары				электронный текст	омонимия не снята	Андрей участливо выслушал мой невеселый рассказ, метнулся к батарее телефонов на крыле стола, вертанул диск, на котором золотел государственный герб.
захотел что-то убить или на что-то 	метнуться	, 	действуй наверняка.	Асар Эппель. Aestas sacra (1990-2000)	Асар Эппель	1935	Aestas sacra	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Некоторые кошки сразу же исчезали, а некоторые укоризненно глядели на столь неловкие движения и качали головами, ибо если захотел что-то убить или на что-то метнуться, действуй наверняка.
понимая, как вообще теперь быть, снова 	метнулся	 	на решетку, – но решетка и не	Асар Эппель. Aestas sacra (1990-2000)	Асар Эппель	1935	Aestas sacra	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Клочки сбившегося в лепешки волоса хоть и принадлежали жеребцу конца семнадцатого – начала восемнадцатого века, но, очевидно, жеребцу столь небывалому, что смирная обычно кобылка, перебиравшая на представлении стройными ножками, покачивавшая плюмажем и сиявшая расчесанным в шашечки шелковым гладким крупом, так откровенно и бесстыже заржала, так сладострастно взвизгнула, что конский волос испустил еще одну, куда более мощную золотую волну запаха, от которой заголосил уже маленький шакал, и заголосил так, что тигр, не понимая, как вообще теперь быть, снова метнулся на решетку, – но решетка и не такое видала! 
Сухоладонным, а вслед, не разбирая дороги, 	метнулся	 	из лопухов Красивый.	Асар Эппель. Aestas sacra (1990-2000)	Асар Эппель	1935	Aestas sacra	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Топая неимоверными ногами, умчались в темноту и мальчишка с Сухоладонным, а вслед, не разбирая дороги, метнулся из лопухов Красивый.
Мясник 	метнулся	 	в разинутый сарай, и черпачный шест	Асар Эппель. Aestas sacra (1990-2000)	Асар Эппель	1935	Aestas sacra	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Мясник метнулся в разинутый сарай, и черпачный шест, торчком застряв поперек дверной дыры, хрустнул, расщепленный его тушей.
есть возможность – прыгнет, а если – нет, 	метнется	.		Асар Эппель. Леонидова победа (1990-2000)	Асар Эппель	1935	Леонидова победа	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Кошка, замерев от шлепка, приседает, а потом, сперва метнув глаза в сторону утопшей в снежном пуху убегающей блесны, упруго – если есть возможность – прыгнет, а если – нет, метнется.
Леонид 	метнулся	 	в сарай, схватил там отполированную иголку	Асар Эппель. Леонидова победа (1990-2000)	Асар Эппель	1935	Леонидова победа	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Леонид метнулся в сарай, схватил там отполированную иголку и черной ниткой в момент зашил штаны.
Убийца в однобортном костюме 	метнулся	 	и пропал за последней на улице	Асар Эппель. Леонидова победа (1990-2000)	Асар Эппель	1935	Леонидова победа	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Убийца в однобортном костюме метнулся и пропал за последней на улице хибарой.
летали по веранде, и один даже 	метнулся	 	посидеть на пальце стариковской руки, но	Асар Эппель. Помазанник и Вера (1990-2000)	Асар Эппель	1935	Помазанник и Вера	1990-2000	художественная	рассказ		Асар Эппель. Шампиньон моей жизни	2000	книга	омонимия не снята	Всполошенные воробьи летали по веранде, и один даже метнулся посидеть на пальце стариковской руки, но, поняв ее содрогание, бросился улетать, причем неодно-кратно оглядывался.
Тоня 	метнулась	 	в коридор, вернулась, заглянула под кровать	Екатерина Маркова. Каприз фаворита (1990-2000)	Екатерина Маркова	1946	Каприз фаворита	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	Тоня метнулась в коридор, вернулась, заглянула под кровать и, немного помолчав, бодрым голосом предложила Денису выпить кофе.
Последний солнечный луч 	метнулся	 	внезапно, как ниоткуда, высветил купол церкви	Екатерина Маркова. Тайная вечеря (1990-2000)	Екатерина Маркова	1946	Тайная вечеря	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	Последний солнечный луч метнулся внезапно, как ниоткуда, высветил купол церкви над посеревшей зарослью кустарника.
Снова 	метнулась	 	к Моте.	Екатерина Маркова. Тайная вечеря (1990-2000)	Екатерина Маркова	1946	Тайная вечеря	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	Снова метнулась к Моте.
Я снова 	метнулась	 	к Игорю Кирилловичу, вцепилась в него	Екатерина Маркова. Тайная вечеря (1990-2000)	Екатерина Маркова	1946	Тайная вечеря	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	Я снова метнулась к Игорю Кирилловичу, вцепилась в него, недоумевающего, но с неизменной улыбкой на лице.
С криком 	метнулась	 	ко мне девушка, а птица глядела	Екатерина Маркова. Тайная вечеря (1990-2000)	Екатерина Маркова	1946	Тайная вечеря	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	С криком метнулась ко мне девушка, а птица глядела на нее блестящими глазами – и я с ужасом узнала в ней ученицу Натальи Арсеньевны.
ведь от чужой беды я так 	метнулась	.		Екатерина Маркова. Тайная вечеря (1990-2000)	Екатерина Маркова	1946	Тайная вечеря	1990-2000	художественная	повесть		Маркова Е. Каприз фаворита	2000	книга	омонимия не снята	Это ведь от чужой беды я так метнулась.
