Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
или виноват тем, что слишком сгоряча 	рванулся	, 	желая, по русскому обычаю, показать свое	Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847)	Н. В. Гоголь	1809	Выбранные места из переписки с друзьями	1843-1847	художественная	письмо литературное	философия	Н. В. Гоголь. Собрание сочинений в 7 томах	1984	книга	омонимия не снята	Словом – везде, куды ни обращусь, вижу, что виноват применитель, стало быть наш же брат: или виноват тем, что поторопился, желая слишком скоро прославиться и схватить орденишку; или виноват тем, что слишком сгоряча рванулся, желая, по русскому обычаю, показать свое самопожертвованье; не расспросясь разума, не рассмотрев в жару самого дела, стал им ворочать, как знаток, и потом вдруг, также по русскому обычаю, простыл, увидевши неудачу; или же виноват, наконец, тем, что из-за какого-нибудь оскорбленного мелкого честолюбия все бросил и то место, на котором было начал так благородно подвизаться, сдал первому плуту – пусть его грабит людей.
Эта молодая удаль и отвага 	рвануться	 	на дело добра, которая так и	Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847)	Н. В. Гоголь	1809	Выбранные места из переписки с друзьями	1843-1847	художественная	письмо литературное	философия	Н. В. Гоголь. Собрание сочинений в 7 томах	1984	книга	омонимия не снята	Эта молодая удаль и отвага рвануться на дело добра, которая так и буйствует в стихах Языкова, есть удаль нашего русского народа, то чудное свойство, ему одному свойственное, которое дает у нас вдруг молодость и старцу и юноше, если только предстанет случай рвануться всем на дело, невозможное ни для какого другого народа, – которое вдруг сливает у нас всю разнородную массу, между собой враждующую, в одно чувство, так что и ссоры, и личные выгоды каждого – все позабыто, и вся Россия – один человек.
и юноше, если только предстанет случай 	рвануться	 	всем на дело, невозможное ни для	Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847)	Н. В. Гоголь	1809	Выбранные места из переписки с друзьями	1843-1847	художественная	письмо литературное	философия	Н. В. Гоголь. Собрание сочинений в 7 томах	1984	книга	омонимия не снята	Эта молодая удаль и отвага рвануться на дело добра, которая так и буйствует в стихах Языкова, есть удаль нашего русского народа, то чудное свойство, ему одному свойственное, которое дает у нас вдруг молодость и старцу и юноше, если только предстанет случай рвануться всем на дело, невозможное ни для какого другого народа, – которое вдруг сливает у нас всю разнородную массу, между собой враждующую, в одно чувство, так что и ссоры, и личные выгоды каждого – все позабыто, и вся Россия – один человек.
домы свои и земные достатки, так 	рванется	 	у нас все сбрасывать с себя	Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847)	Н. В. Гоголь	1809	Выбранные места из переписки с друзьями	1843-1847	художественная	письмо литературное	философия	Н. В. Гоголь. Собрание сочинений в 7 томах	1984	книга	омонимия не снята	Что есть много в коренной природе нашей, нами позабытой, близкого закону Христа, – доказательство тому уже то, что без меча пришел к нам Христос, и приготовленная земля сердец наших призывала сама собой его слово, что есть уже начала братства Христова в самой нашей славянской природе, и побратанье людей было у нас родней даже и кровного братства, что еще нет у нас непримиримой ненависти сословья противу сословья и тех озлобленных партий, какие водятся в Европе и которые поставляют препятствие непреоборимое к соединению людей и братской любви между ними, что есть, наконец, у нас отвага, никому не сродная, и если предстанет нам всем какое-нибудь дело, решительно невозможно ни для какого другого народа, хотя бы даже, например, сбросить с себя вдруг и разом все недостатки наши, все позорящее высокую природу человека, то с болью собственного тела, не пожалев самих себя, как в двенадцатом году, не пожалев имуществ, жгли домы свои и земные достатки, так рванется у нас все сбрасывать с себя позорящее и пятнающее нас, ни одна душа не отстанет от другой, и в такие минуты всякие ссоры, ненависти, вражды – все бывает позабыто, брат повиснет на груди у брата, и вся Россия – один человек.
нетерпеливо землю, и готов, как вихрь 	рвануться	 	в степь!..	Н. Т. Муравьев. Письма русского из Персии (1844)	Н. Т. Муравьев		Письма русского из Персии	1844	публицистика	письмо	путешествия	Письма русского из Персии	1844	книга	омонимия не снята	То он несется быстро, и пыль столбом за ним; то гордым шагом едва подвигается, чтобы все любовались им; конь ржет, храпит, бьет нетерпеливо землю, и готов, как вихрь рвануться в степь!..
Я 	рванулся	, 	и веревки на руках подались.	Т. Г. Шевченко. Варнак (1845)	Т. Г. Шевченко	1814	Варнак	1845	художественная	повесть		Тарас Шевченко. Зібрання творів: У 6 т. Т. 3	2003	книга	омонимия не снята	Я рванулся, и веревки на руках подались.
перед нареченной невестою, поослабил вожжи, коренная 	рванулась	 	вперед, пристяжные подхватили и, как из	М. Н. Загоскин. Брынский лес (1846)	М. Н. Загоскин	1789	Брынский лес	1846	художественная	роман		Загоскин М. Н. Брынский лес	1993	книга	омонимия не снята	Левшин сел в кибитку, заехал на село, чтоб взять с собой Дарью, и лишь только Ферапонт, желая пощеголять своим удальством перед нареченной невестою, поослабил вожжи, коренная рванулась вперед, пристяжные подхватили и, как из лука стрела, с визгом помчались вдоль озера.
Вся тройка 	рванулась	 	вперед, и сторож, отброшенный шагов на	М. Н. Загоскин. Брынский лес (1846)	М. Н. Загоскин	1789	Брынский лес	1846	художественная	роман		Загоскин М. Н. Брынский лес	1993	книга	омонимия не снята	Вся тройка рванулась вперед, и сторож, отброшенный шагов на десять в сторону, упал между кустов.
А гнедко трусил, да как 	рванется	 	вдруг и понес, и понес, несет	Н. В. Кукольник. Леночка, или новый, 1746 год (1846)	Н. В. Кукольник	1809	Леночка, или новый, 1746 год	1846	художественная	повесть		Чудо рождественской ночи: Святочные рассказы	1991	книга	омонимия не снята	А гнедко трусил, да как рванется вдруг и понес, и понес, несет, а впереди река.
возле кареты, дал шпоры лошади: она 	рванулась	 	на берег, и, не знаю как	Ф. В. Булгарин. Воспоминания (1846-1849)	Ф. В. Булгарин	1789	Воспоминания	1846-1849	публицистика	мемуары		Ф. Булгарин. Воспоминания	2000	книга	омонимия не снята	Сестры от испуга закричали, и отец мой, ехавший возле кареты, дал шпоры лошади: она рванулась на берег, и, не знаю как, оступившись или завязнув в грязи, упала на бок.
