Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Я 	рванулся	 	из последних сил, изнутри что-то неприятно	М. Агеев. Роман с кокаином (1934)	М. Агеев	1898	Роман с кокаином	1934	художественная	роман		М. Агеев. Роман с кокаином	1990	книга	омонимия не снята	Я рванулся из последних сил, изнутри что-то неприятно дернулось во мне и я проснулся.
и по той же прямой плавно 	рванулся	 	к земле.	А. П. Гайдар. Военная тайна (1934)	А. П. Гайдар	1904	Военная тайна	1934	художественная	повесть		А. Гайдар. Собр. соч.: В 3 т. Том 1	1986	книга	омонимия не снята	Хорошие свечки дает Картузик», – подумала Натка, глядя на то, как тугой мяч гулко взвился к небу, повис на мгновение над острыми вершинами старых кипарисов и по той же прямой плавно рванулся к земле.
веселой музыки, потом многоголосая знакомая песня 	рванулись	 	через окно в пустую дежурку.	А. П. Гайдар. Военная тайна (1934)	А. П. Гайдар	1904	Военная тайна	1934	художественная	повесть		А. Гайдар. Собр. соч.: В 3 т. Том 1	1986	книга	омонимия не снята	Вдруг волны быстрой, веселой музыки, потом многоголосая знакомая песня рванулись через окно в пустую дежурку.
и огни стремительно, точно по воздуху, 	рванулись	 	к центру площадки.	А. П. Гайдар. Военная тайна (1934)	А. П. Гайдар	1904	Военная тайна	1934	художественная	повесть		А. Гайдар. Собр. соч.: В 3 т. Том 1	1986	книга	омонимия не снята	Горн зазвучал еще раз, и огни стремительно, точно по воздуху, рванулись к центру площадки.
Но ослепленный злобою, отуманенный водкой человек 	рванулся	 	к земле, и целый град булыжников	А. П. Гайдар. Военная тайна (1934)	А. П. Гайдар	1904	Военная тайна	1934	художественная	повесть		А. Гайдар. Собр. соч.: В 3 т. Том 1	1986	книга	омонимия не снята	Но ослепленный злобою, отуманенный водкой человек рванулся к земле, и целый град булыжников полетел в Сергея.
Сергей 	рванулся	 	и приподнял Альку.	А. П. Гайдар. Военная тайна (1934)	А. П. Гайдар	1904	Военная тайна	1934	художественная	повесть		А. Гайдар. Собр. соч.: В 3 т. Том 1	1986	книга	омонимия не снята	Сергей рванулся и приподнял Альку.
земле, испуганно вскочили на ноги и 	рванулись	 	к противоположному краю рва, где над	Вл. А. Гиляровский. Москва газетная (1934)	Вл. А. Гиляровский	1855	Москва газетная	1934	публицистика	мемуары		В. А. Гиляровский. Собрание сочинений в 4 томах. Том 3	1999	книга	омонимия не снята	И все, кто мирно лежал и сидел на земле, испуганно вскочили на ноги и рванулись к противоположному краю рва, где над обрывом белели будки, крыши которых я только и видел за мельтешащимися головами.
не успел я опомниться, как шар 	рванулся	 	сначала в сторону, потом вверх, потом	Вл. А. Гиляровский. Москва газетная (1934)	Вл. А. Гиляровский	1855	Москва газетная	1934	публицистика	мемуары		В. А. Гиляровский. Собрание сочинений в 4 томах. Том 3	1999	книга	омонимия не снята	и не успел я опомниться, как шар рванулся сначала в сторону, потом вверх, потом вбок, брошенный ветром, причем низом корзины чуть-чуть не ударился в трубу дома, – и...
похолодел, увидав, как мальчик зашатался, быстро 	рванулся	 	в сторону и, взмахнув руками, разом	Вл. А. Гиляровский. Москва газетная (1934)	Вл. А. Гиляровский	1855	Москва газетная	1934	публицистика	мемуары		В. А. Гиляровский. Собрание сочинений в 4 томах. Том 3	1999	книга	омонимия не снята	Н. И. Пастухов, мгновенно вспомнив, что револьвер заряжен, весь похолодел, увидав, как мальчик зашатался, быстро рванулся в сторону и, взмахнув руками, разом грохнулся о землю.
Она сыграла задними ногами, 	рванулась	, 	потащила за собой коренника.	В. Я. Зазубрин. Горы (1934)	В. Я. Зазубрин	1895	Горы	1934	художественная	роман		В. Я. Зазубрин. Горы. Роман. СПб.: Изд-во писателей в Ленинграде, 1934	1934	книга	омонимия не снята	Она сыграла задними ногами, рванулась, потащила за собой коренника.
Не успел Северин 	рвануться	, 	как очутился среди людей.	М. А. Кравков. Рыжий конь (1934)	М. А. Кравков	1887	Рыжий конь	1934	художественная	рассказ		Максимилиан Кравков. Ассирийская рукопись	1970	книга	омонимия не снята	Не успел Северин рвануться, как очутился среди людей.
Через сучья 	рванулись	 	вперед и увидели.	М. А. Кравков. Рыжий конь (1934)	М. А. Кравков	1887	Рыжий конь	1934	художественная	рассказ		Максимилиан Кравков. Ассирийская рукопись	1970	книга	омонимия не снята	Через сучья рванулись вперед и увидели.
Вдруг 	рванулся	.		М. А. Кузмин. Дневник 1934 года (1934)	М. А. Кузмин	1875	Дневник 1934 года	1934	публицистика	дневник, записные книжки		Кузмин М. А. Дневник 1934 года	1998	книга	омонимия не снята	Вдруг рванулся.
от оглушительной трескотни его мотора лошади 	рванулись	 	в сторону.	Н. А. Островский. Рожденные бурей (1934-1936)	Н. А. Островский	1904	Рожденные бурей	1934-1936	художественная	роман		Островский Н. А. Рожденные бурей	1989	книга	омонимия не снята	Мотоцикл вынырнул перед самой коляской, и от оглушительной трескотни его мотора лошади рванулись в сторону.
Тоня вдруг 	рванулась	 	вперед, схватила его искалеченную руку и	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Тоня вдруг рванулась вперед, схватила его искалеченную руку и прижалась к ней горячими губами.
Боясь опоздать, Круглов 	рванулся	 	вперед, в три прыжка сбежал по	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Боясь опоздать, Круглов рванулся вперед, в три прыжка сбежал по качающимся сходням, спрыгнул на мокрый песок, высоко в воздух подкинул сорванную с головы ушанку и закричал срывающимся, мальчишеским голосом: 
Тоня швырнула топор и 	рванулась	 	к Круглову.	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Тоня швырнула топор и рванулась к Круглову.
И Петя Голубенко 	рванулся	 	навстречу, заорав на весь лес: 	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	И Петя Голубенко рванулся навстречу, заорав на весь лес: 
	Рванется	 	лошадь да в такую трущобу заскочит	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Рванется лошадь да в такую трущобу заскочит – ни взад, ни вперед.
Андрей Круглов 	рванулся	 	к реке.	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Андрей Круглов рванулся к реке.
Гриша 	рванулся	 	к ней: 	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Гриша рванулся к ней: 
Тоня 	рванулась	 	вперед, упала на колени, прижалась к	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Тоня рванулась вперед, упала на колени, прижалась к его рукам пылающим лицом и зарыдала.
и матросы готовились убрать сходни, Тоня 	рванулась	 	вперед, легко взбежала по сходням и	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Но когда Сема был уже на борту и матросы готовились убрать сходни, Тоня рванулась вперед, легко взбежала по сходням и упала в объятия Семы.
Сергей 	рванулся	 	вперед, и тотчас волна настигла его	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Сергей рванулся вперед, и тотчас волна настигла его, оторвала от скалы, швырнула на камень.
Сергей видел, как 	рванулся	 	на зов Сема, как он подхватил	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Сергей видел, как рванулся на зов Сема, как он подхватил ребенка на руки и поднял над головой.
Клара стремительно 	рванулась	 	вперед, к столу президиума.	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Клара стремительно рванулась вперед, к столу президиума.
Круглов 	рванулся	 	вперед и остановился.	В. К. Кетлинская. Мужество (1934-1938)	В. К. Кетлинская	1906	Мужество	1934-1938	художественная	роман		Кетлинская В. Мужество	1957	книга	омонимия не снята	Круглов рванулся вперед и остановился.
Постоял, как выгнанный школьник, было 	рванулся	 	к каверзной двери, но перетрусил, вновь	В. Я. Шишков. Емельян Пугачев. Книга первая. Ч. 1-2 (1934-1939)	В. Я. Шишков	1873	Емельян Пугачев. Книга первая. Ч. 1-2	1934-1939	художественная	роман		Шишков В. Я. Емельян Пугачев: Ист. повествование	1985	книга	омонимия не снята	Постоял, как выгнанный школьник, было рванулся к каверзной двери, но перетрусил, вновь злобно всхлипнул, закрыл лицо нежными дланями и неверной походкой направился коридором к себе.
безобразно оскалила зубы и, сжав кулаки, 	рванулась	 	на дворню медведицей, железные цепи впились	В. Я. Шишков. Емельян Пугачев. Книга первая. Ч. 1-2 (1934-1939)	В. Я. Шишков	1873	Емельян Пугачев. Книга первая. Ч. 1-2	1934-1939	художественная	роман		Шишков В. Я. Емельян Пугачев: Ист. повествование	1985	книга	омонимия не снята	Салтычиха пришла в бешенство: затопала по помосту сапожищами, безобразно оскалила зубы и, сжав кулаки, рванулась на дворню медведицей, железные цепи впились в нее, столб зашатался, помост затрещал: 
Парнишка куснул солдату руку, 	рванулся	, 	убежал.	В. Я. Шишков. Емельян Пугачев. Книга первая. Ч. 1-2 (1934-1939)	В. Я. Шишков	1873	Емельян Пугачев. Книга первая. Ч. 1-2	1934-1939	художественная	роман		Шишков В. Я. Емельян Пугачев: Ист. повествование	1985	книга	омонимия не снята	Парнишка куснул солдату руку, рванулся, убежал.
Воевода 	рванулся	 	от жены, сбросил шубу на руки	В. Я. Шишков. Емельян Пугачев. Книга третья. Ч. 1 (1934-1945)	В. Я. Шишков	1873	Емельян Пугачев. Книга третья. Ч. 1	1934-1945	художественная	роман		Шишков В. Я. Емельян Пугачев: Ист. повествование	1985	книга	омонимия не снята	Воевода рванулся от жены, сбросил шубу на руки рассыльного, сбросил валенки, длинную фланелевую рубаху (больше ничего на нем не было), перекрестился и, загоготав, скакнул, как грузный морж, в прорубь.
хотели заткнуть, а он, безносый, страшительный, 	рванулся	 	да свое: «И вам, кричит, то	В. Я. Шишков. Емельян Пугачев. Книга третья. Ч. 2 (1934-1945)	В. Я. Шишков	1873	Емельян Пугачев. Книга третья. Ч. 2	1934-1945	художественная	роман		Шишков В. Я. Емельян Пугачев: Ист. повествование	1985	книга	омонимия не снята	Тут ему рот хотели заткнуть, а он, безносый, страшительный, рванулся да свое: «И вам, кричит, то же будет от батюшки, сволочи!..
Эскадроны, спутав всякий порядок, 	рванулись	 	за ним.	Артем Веселый. Степь да степь кругом... (1935)	Артем Веселый	1899	Степь да степь кругом...	1935	художественная	рассказ		Артем Веселый. Избранное	1990	книга	омонимия не снята	Эскадроны, спутав всякий порядок, рванулись за ним.
Дирижабль плавно 	рванулся	 	вверх.	Мих. Зуев-Ордынeц. К причалу // «Уральский следопыт», 1935	Мих. Зуев-Ордынeц		К причалу	1935	публицистика	очерк	техника	«Уральский следопыт»	1935	журнал	омонимия не снята	Дирижабль плавно рванулся вверх.
Барабаны оглушительно 	рванулись	 	в колокольном тоннеле ворот.	А. С. Макаренко. Педагогическая поэма. Часть 3 (1935)	А. С. Макаренко	1888	Педагогическая поэма. Часть 3	1935	художественная	поэма		Макаренко А. С. Педагогическая поэма	1976	книга	омонимия не снята	Барабаны оглушительно рванулись в колокольном тоннеле ворот.
за семьёй князя Рогволода, выхватил меч, 	рванулся	 	на Володимира.	И. Ф. Наживин. Глаголют стяги (1935)	И. Ф. Наживин	1874	Глаголют стяги	1935	публицистика	монография	история	Собрание сочинений: В 3 т. Том 2. Иудей	1995	книга	омонимия не снята	И вдруг Даньслав, незаметно подошедший за семьёй князя Рогволода, выхватил меч, рванулся на Володимира.
отроков, выхватил у него, растерявшегося, меч, 	рванулся	 	к пасущимся неподалёку коням княжеским, вскочил	И. Ф. Наживин. Глаголют стяги (1935)	И. Ф. Наживин	1874	Глаголют стяги	1935	публицистика	монография	история	Собрание сочинений: В 3 т. Том 2. Иудей	1995	книга	омонимия не снята	Молодой Даньслав – о нём немножко позабыли – вдруг бросился на одного из отроков, выхватил у него, растерявшегося, меч, рванулся к пасущимся неподалёку коням княжеским, вскочил на одного из них и во весь дух пустился по Киевской дороге.
Помню только, что я резко 	рванулся	, 	отбросил какого-то человека к противоположной стенке	И. Л. Солоневич. Россия в концлагере (1935)	И. Л. Солоневич	1891	Россия в концлагере	1935	публицистика	мемуары		III Издание. Издательство «Голосъ Россiи», Софiя, 1938	1938	книга	омонимия не снята	Помню только, что я резко рванулся, отбросил какого-то человека к противоположной стенке купе, человек глухо стукнулся головой об стенку, что кто-то повис на моей руке, кто-то цепко обхватил мои колена, какия-то руки сзади судорожно вцепились мне в горло – а прямо в лицо уставились три или четыре револьверных дула.
болото до средины бедра, как я 	рванулся	 	вперед, распластал руки и лег всем	И. Л. Солоневич. Россия в концлагере (1935)	И. Л. Солоневич	1891	Россия в концлагере	1935	публицистика	мемуары		III Издание. Издательство «Голосъ Россiи», Софiя, 1938	1938	книга	омонимия не снята	Не успела моя правая нога уйти в болото до средины бедра, как я рванулся вперед, распластал руки и лег всем туловищем на поверхность болота...
сорвал с себя злополучный плащ и 	рванулся	 	вперед с колотящимся сердцем и разрывающимися	И. Л. Солоневич. Россия в концлагере (1935)	И. Л. Солоневич	1891	Россия в концлагере	1935	публицистика	мемуары		III Издание. Издательство «Голосъ Россiи», Софiя, 1938	1938	книга	омонимия не снята	Я отчаянным вздохом захватил в легкия запас воздуха, мгновенно отстегнул и отбросил назад спинную сумку, отрывая пуговицы, сорвал с себя злополучный плащ и рванулся вперед с колотящимся сердцем и разрывающимися легкими.
прислушивается к ритму своего сердца: не 	рванулось	 	бы сразу, не сорвалось бы.	В. Ф. Ходасевич. Об Анненском (1935)	В. Ф. Ходасевич	1886	Об Анненском	1935	публицистика	статья	искусство и культура	Ходасевич В. Ф. Колеблемый треножник : Избранное / Под общ. ред. Н. А. Богомолова Сост. и подгот. текста В. Г. Перельмутера	1990	книга	омонимия не снята	Когда читаешь его стихи, то словно чувствуешь, как человек прислушивается к ритму своего сердца: не рванулось бы сразу, не сорвалось бы.
неожиданно треснул, поддалась ножка, и Васильев 	рванулся	, 	переменившись в лице, но не упал	В. В. Набоков. Дар (1935-1937)	В. В. Набоков	1899	Дар	1935-1937	художественная	роман		Набоков В. В. Собрание сочинений, т. 6	1988	книга	омонимия не снята	Внезапно Васильев так тяжко повернулся на стуле, что он неожиданно треснул, поддалась ножка, и Васильев рванулся, переменившись в лице, но не упал, – и это мало смешное происшествие явилось предлогом для какого-то звериного, ликующего взрыва, прервавшего чтение, и покуда Васильев переселялся на другой стул, Герман Иванович Буш, наморщив великолепный, но совершенно недоходный лоб, что-то в рукописи отмечал карандашиком, и среди облегченного затишья неизвестная дама еще отдельно простонала что-то, но уже Буш приступал к дальнейшему чтению: 
с глазастой, дрожащей собачкой подмышкой, 	рванулась	 	к выходу, шатаясь, борясь с призраками	В. В. Набоков. Дар (1935-1937)	В. В. Набоков	1899	Дар	1935-1937	художественная	роман		Набоков В. В. Собрание сочинений, т. 6	1988	книга	омонимия не снята	с глазастой, дрожащей собачкой подмышкой, рванулась к выходу, шатаясь, борясь с призраками, и Зина посмотрела вверх на нее беглым небесным взглядом.
почувствовала только, как собаки с яростью 	рванулись	 	навстречу, и закричала на них диким	Р. И. Фраерман. Дикая собака Динго, или Повесть о первой любви (1935-1940)	Р. И. Фраерман	1891	Дикая собака Динго, или Повесть о первой любви	1935-1940	художественная	повесть		Фраерман Р. И. Дикая собака Динго, или Повесть о первой любви	1986	книга	омонимия не снята	Она почувствовала только, как собаки с яростью рванулись навстречу, и закричала на них диким голосом.
Пушкин увидел ее вдруг – и вдруг 	рванулся	 	к ней, как конь, стиснутый шпорой.	Ю. Н. Тынянов. Пушкин (1935-1943)	Ю. Н. Тынянов	1894	Пушкин	1935-1943	художественная	роман		Ю. Н. Тынянов. Пушкин	1987	книга	омонимия не снята	Пушкин увидел ее вдруг – и вдруг рванулся к ней, как конь, стиснутый шпорой.
	Рванулся	 	невесть куда.	Н. Н. Шпанов. Личное счастье Нила Кручинина (1935-1950)	Н. Н. Шпанов	1896	Личное счастье Нила Кручинина	1935-1950	художественная	повесть		Искатели истины	1955	книга	омонимия не снята	Рванулся невесть куда.
Кучер не оглянулся, карета 	рванулась	, 	испуганные лошади понесли.	А. К. Виноградов. Осуждение Паганини (1936)	А. К. Виноградов	1888	Осуждение Паганини	1936	художественная	роман		А. К. Виноградов. Повесть о братьях Тургеневых. Осуждение Паганини. Минск: Мастацкая литература, 1983	1983	книга	омонимия не снята	Кучер не оглянулся, карета рванулась, испуганные лошади понесли.
Он 	рванулся	 	к столу.	А. К. Виноградов. Осуждение Паганини (1936)	А. К. Виноградов	1888	Осуждение Паганини	1936	художественная	роман		А. К. Виноградов. Повесть о братьях Тургеневых. Осуждение Паганини. Минск: Мастацкая литература, 1983	1983	книга	омонимия не снята	Он рванулся к столу.
Они 	рванулись	 	с места и понесли его домой	Б. Л. Горбатов. Поединок (1936)	Б. Л. Горбатов	1908	Поединок	1936	художественная	рассказ		Б. Л. Горбатов. Обыкновенная Арктика	1959	книга	омонимия не снята	Они рванулись с места и понесли его домой одного.
Ну, я 	рванулся	 	назад.	Илья Ильф , Евгений Петров. Одноэтажная Америка (1936)	Илья Ильф | Евгений Петров	1897 | 1903	Одноэтажная Америка	1936	публицистика	монография	политика и общественная жизнь	Собр.соч. Т. 4. М.: ГИХЛ, 1961	1961	книга	омонимия не снята	Ну, я рванулся назад.
закричал он страшным голосом, 	рванулся	 	и изо всех сил толкнул усатого	В. П. Катаев. Белеет парус одинокий (1936)	В. П. Катаев	1897	Белеет парус одинокий	1936	художественная	повесть		Катаев В. П. Белеет парус одинокий	2007	книга	омонимия не снята	закричал он страшным голосом, рванулся и изо всех сил толкнул усатого кулаком в грудь.
Не слыша под собой ног, Петя 	рванулся	 	за приятелем.	В. П. Катаев. Белеет парус одинокий (1936)	В. П. Катаев	1897	Белеет парус одинокий	1936	художественная	повесть		Катаев В. П. Белеет парус одинокий	2007	книга	омонимия не снята	Не слыша под собой ног, Петя рванулся за приятелем.
Он 	рванулся	, 	но тотчас получил подножку и полетел	В. П. Катаев. Белеет парус одинокий (1936)	В. П. Катаев	1897	Белеет парус одинокий	1936	художественная	повесть		Катаев В. П. Белеет парус одинокий	2007	книга	омонимия не снята	Он рванулся, но тотчас получил подножку и полетел лицом в бурьян.
	Рванулся	 	воздух.	В. П. Катаев. Белеет парус одинокий (1936)	В. П. Катаев	1897	Белеет парус одинокий	1936	художественная	повесть		Катаев В. П. Белеет парус одинокий	2007	книга	омонимия не снята	Рванулся воздух.
Из конфорки 	рванулось	 	разноцветное пламя.	В. П. Катаев. Белеет парус одинокий (1936)	В. П. Катаев	1897	Белеет парус одинокий	1936	художественная	повесть		Катаев В. П. Белеет парус одинокий	2007	книга	омонимия не снята	Из конфорки рванулось разноцветное пламя.
за окном, и шинель, оттаптывая ноги, 	рванулась	 	к выходу.	Б. А. Лавренев. Комендант Пушкин (1936)	Б. А. Лавренев	1891	Комендант Пушкин	1936	художественная	рассказ		Лавренев Б. Собр. соч.: В 6 т. Т. 3. М.: ГИХЛ, 1964	1964	книга	омонимия не снята	Хриплым воплем удавленника разбитый колокол трижды простонал за окном, и шинель, оттаптывая ноги, рванулась к выходу.
Багровое пламя 	рванулось	 	к потолку, и под стенами внезапно	К. Г. Паустовский. Орест Кипренский (1936)	К. Г. Паустовский	1892	Орест Кипренский	1936	художественная	рассказ		К. Паустовский. Собр. соч. в 8-ми т. Т. 6.	1969	книга	омонимия снята	Багровое пламя рванулось к потолку, и под стенами внезапно засверкали статуи, озарённые колеблющимся светом.
не дожидаясь сведений северной разведки «Сибирякова», 	рванулся	 	со всем караваном к берегу на	М. А. Трояновский. С веком наравне. Дневники. Письма. Записки (1936)	М. А. Трояновский	1907	С веком наравне. Дневники. Письма. Записки	1936	бытовая	дневник, записные книжки	частная жизнь | путешествия	С веком наравне. Дневники. Письма. Записки. М., 2004.	2004	книга	омонимия не снята	Хлебников сразу же, не дожидаясь сведений северной разведки «Сибирякова», рванулся со всем караваном к берегу на зюйд-ост.
левой рукой, цукнешь лошадь, и она 	рванется	 	вперед.	В. С. Трубецкой. Записки кирасира (1936-1937)	В. С. Трубецкой	1892	Записки кирасира	1936-1937	публицистика	мемуары	армия и вооруженные конфликты	Трубецкой В. С. Записки кирасира: Мемуары	1991	книга	омонимия не снята	Беда, если при ударе шашкой заденешь повод левой рукой, цукнешь лошадь, и она рванется вперед.
Сани 	рванулись	; 	в вихре морозной пыли все вмиг	Б. А. Садовской. Пшеница и плевелы (1936-1941) // «Новый Мир», 1993	Б. А. Садовской	1881	Пшеница и плевелы	1936-1941	художественная	роман		«Новый Мир»	1993	журнал	омонимия не снята	Сани рванулись; в вихре морозной пыли все вмиг исчезло.
Мой сосед вздрогнул и 	рванулся	 	с койки.	А. С. Новиков-Прибой. Капитан первого ранга (1936-1944)	А. С. Новиков-Прибой	1877	Капитан первого ранга	1936-1944	художественная	роман		Новиков-Прибой А. С. В бухте Отрада	1977	книга	омонимия не снята	Мой сосед вздрогнул и рванулся с койки.
Пара белых лошадей 	рванулась	 	вперед, зацокали о камень подковы, посыпались	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Пара белых лошадей рванулась вперед, зацокали о камень подковы, посыпались искры.
Захар 	рванулся	 	вперед.	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Захар рванулся вперед.
ногами, обдавая Демьяна снежной пылью, и 	рванулся	 	вперед.	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Жеребчик от неожиданного удара взбрыкнул ногами, обдавая Демьяна снежной пылью, и рванулся вперед.
Казаки, как будто ожидавшие этого, 	рванулись	 	вперед.	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Казаки, как будто ожидавшие этого, рванулись вперед.
	Рванулся	 	я вперед, и сам не знаю	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Рванулся я вперед, и сам не знаю, откуда силы взялись.
Анна 	рванулась	 	к ступе, намереваясь взяться за работу.	Г. М. Марков. Строговы. Кн. 1 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 1	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Анна рванулась к ступе, намереваясь взяться за работу.
Застоявшиеся сытые лошади 	рванулись	 	вперед, обгоняя кошевки и розвальни, наполненные	Г. М. Марков. Строговы. Кн. 2 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 2	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Застоявшиеся сытые лошади рванулись вперед, обгоняя кошевки и розвальни, наполненные детворой, парнями и девками.
Он 	рванулся	 	было назад, но Маняшка со смехом	Г. М. Марков. Строговы. Кн. 2 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 2	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Он рванулся было назад, но Маняшка со смехом схватила его за руку и потащила в круг.
привыкшая к повадкам своего молодого хозяина, 	рванулась	 	вперед.	Г. М. Марков. Строговы. Кн. 2 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 2	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Акимка привстал в стременах, отпустил поводья, и кобылица, привыкшая к повадкам своего молодого хозяина, рванулась вперед.
Раздувая ноздри, испуганная лошадь 	рванулась	 	из риги, ударив о столб головой	Г. М. Марков. Строговы. Кн. 2 (1936-1948)	Г. М. Марков	1911	Строговы. Кн. 2	1936-1948	художественная	роман		Марков Г. М. Строговы: Роман	1965	книга	омонимия не снята	Раздувая ноздри, испуганная лошадь рванулась из риги, ударив о столб головой повисшего в стремени седока.
Барченко 	рванулся	 	к кафедре, простирая руку, но спохватился	Н. И. Гаген-Торн. Memoria (1936-1979)	Н. И. Гаген-Торн	1900	Memoria	1936-1979	публицистика	мемуары		Гаген-Торн Н. И. Memoria	1994	книга	омонимия не снята	Барченко рванулся к кафедре, простирая руку, но спохватился и спокойно покачал головой, застывая в величии.
В отворенную дверь 	рванулся	 	косой столп света, в нем закружились	Г. В. Алексеев. Заграница (Воспоминания Г. В. Алексеева) (1937)	Г. В. Алексеев	1892	Заграница (Воспоминания Г. В. Алексеева)	1937	публицистика	мемуары	история | частная жизнь	Сборник материалов ЦГАЛИ СССР. Встречи с прошлым. Выпуск 7	1990	книга	омонимия не снята	В отворенную дверь рванулся косой столп света, в нем закружились пылинки, как золотые веснушки, из тьмы выступил угол шкапа, а за ним – обугленная икона.
Танкисты орлиного Таджикистана, Бесстрашные летчики Азербайджана 	Рванутся	 	в походы, как смерч, как буран	К. Алтайский. Сталинская конституция в народном творчестве // Народное творчество, 1937	К. Алтайский	1902	Сталинская конституция в народном творчестве	1937	публицистика	статья	искусство и культура	Народное творчество	1937	журнал	омонимия не снята	Взмахни только саблей, вождем тебе данной, И встанут под знамя полки Киргизстана – Разведчики знойного Узбекистана, – Отважные всадники Туркменистана, Танкисты орлиного Таджикистана, Бесстрашные летчики Азербайджана Рванутся в походы, как смерч, как буран Одиннадцать страха не знающих стран...
С ревом она 	рванулась	 	на берег, загроможденный камнями.	В. К. Арсеньев. В горах Сихотэ-Алиня (1937)	В. К. Арсеньев	1872	В горах Сихотэ-Алиня	1937	художественная	очерк | цикл		В. К. Арсеньев. В горах Сихотэ-Алиня	1955	книга	омонимия не снята	С ревом она рванулась на берег, загроможденный камнями.
